ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,speed,upTime,upTimeSuccessCount,upTimeTryCount,updated_at,responseTime
"103.109.187.33","elite","AS150826","VN","VR VIET NAM COMPANY LIMITED","220","VR Viet NAM Company Limited","1080","socks5","5002","100","17","17","2026-08-25T16:39:34.769Z","97"
"139.255.74.124","transparent","AS9905","ID","PT. LINKNET","192","N/A","8080","http","1465","72","101","141","2026-08-25T16:42:06.871Z","104"
"14.161.10.46","anonymous","AS45899","VN","VNPT","195","Vietnam Posts and Telecommunications Group","80","http","5055","100","17","17","2026-08-25T16:22:31.980Z","106"
"165.101.230.76","transparent","AS141127","ID","PT Anugerah Cimanuk Raya","176","PT CIMANUK DIGITAL NETWORK TEKNOLOGI","8080","http","1745","100","51","51","2026-08-25T16:08:46.073Z","120"
"66.135.27.9","elite","AS20473","US","The Constant Company, LLC","86","Vivint Wireless, Inc.","443","http","2191","100","306","306","2026-08-25T16:44:10.093Z","122"
"192.252.220.89","elite","AS46562","US","Performive LLC","163","Total Server Solutions L.L.C","4145","socks5","5624","100","17","17","2026-08-25T16:47:22.184Z","123"
"131.222.251.195","transparent","AS216472","TR","High Speed For Internet Services L.L.C","71","Turk Telekomunikasyon Anonim Sirketi","8080","https","292","90","45","50","2026-08-25T16:04:58.592Z","138"
"91.247.250.215","elite","AS29588","RU","Ivstar Ltd","48","Ivstar Ltd","4145","socks4","213","100","60","60","2026-08-25T16:30:58.780Z","142"
"47.82.80.23","elite","AS45102","HK","Alibaba (US) Technology Co., Ltd.","190","Alibaba.com LLC","1011","socks5","368","83","25","30","2026-08-25T16:36:39.584Z","142"
"126.209.110.96","transparent","AS135607","PH","Infinivan Incorporated","314","Infinivan Wholesale","8087","http","1311","97","133","137","2026-08-25T16:47:25.393Z","144"
"103.125.17.106","anonymous","AS138087","ID","JAVAMEDIA","177","N/A","8080","https","1586","88","74","84","2026-08-25T16:44:16.869Z","145"
"5.255.99.75","elite","AS60404","NL","The Infrastructure Group B.V.","38","TIG","1080","socks5","7203","67","29","43","2026-08-25T16:38:47.894Z","145"
"47.243.19.177","elite","AS45102","HK","Alibaba Cloud LLC","182","Alibaba Cloud - HK","1011","socks5","409","94","45","48","2026-08-25T16:38:55.966Z","147"
"158.101.89.163","transparent","AS31898","JP","Oracle Corporation","235","Oracle Cloud Infrastructure (ap-tokyo-1)","3123","http","969","99","268","270","2026-08-25T16:21:42.975Z","148"
"208.67.28.27","transparent","AS22436","US","SonicNet Inc.","133","SonicNet Inc","58090","http","259","100","347","348","2026-08-25T16:12:33.800Z","149"
"144.124.232.204","elite","AS216071","NL","Servers Tech Fzco","56","Servers Tech Fzco","5222","socks5","76","99","411","414","2026-08-25T16:28:52.679Z","151"
"83.239.34.82","elite","AS25490","RU","OJSC Rostelecom Macroregional Branch South","72","OJSC Rostelecom Macroregional Branch South","8080","http","319","100","180","180","2026-08-25T16:30:19.884Z","151"
"118.179.167.238","transparent","AS23956","BD","dhakaCom","199","Dhakacom Limited","55","https","1366","97","307","315","2026-08-25T16:39:38.589Z","153"
"87.106.120.212","transparent","AS8560","FR","IONOS SE","10","Fr Std Aem Ionos Cloud Live","3128","https","7317","100","406","406","2026-08-25T16:21:53.701Z","154"
"38.191.194.43","transparent","AS273103","CO","TV&MÁS S.A.S","171","N/A","999","http","793","100","256","257","2026-08-25T16:29:50.994Z","155"
"92.112.125.102","elite","AS214677","NL","Matteo Martelloni trading as DELUXHOST","18","DELUXHOST","8443","socks5","2093","76","253","332","2026-08-25T16:37:12.098Z","156"
"187.249.112.221","transparent","AS32098","MX","Transtelco Inc","171","IP Matrix, S.A. de C.V","999","http","1200","100","147","147","2026-08-25T16:53:31.671Z","156"
"24.249.199.4","elite","AS22773","US","Cox Communications Inc.","172","Cox Communications","4145","socks4","5003","100","17","17","2026-08-25T16:08:01.882Z","157"
"123.138.24.112","elite","AS4837","CN","CNC Group CHINA169 Shanni Province Network","180","N/A","8800","https","438","96","153","160","2026-08-25T16:26:15.381Z","158"
"89.251.21.45","transparent","N/A","UA","High Speed For Internet Services L.L.C","64","N/A","8080","http","7397","99","68","69","2026-08-25T16:41:32.692Z","160"
"176.12.72.62","elite","AS205431","KZ","Netfire TEC","97","N/A","3128","https","860","79","328","416","2026-08-25T16:01:11.212Z","161"
"107.149.141.54","elite","AS398823","US","PEG TECH INC","159","N/A","5001","socks5","4561","98","385","394","2026-08-25T16:30:19.872Z","163"
"5.129.214.191","elite","AS210976","NL","Timeweb, LLP","14","Timeweb, LLP","8080","https","1054","64","206","320","2026-08-25T16:45:43.681Z","166"
"186.227.196.104","transparent","AS53055","BR","Dimenoc Servicos De Informatica Ltda","190","HostDime","3128","https","4409","99","123","124","2026-08-25T16:41:19.490Z","166"
"23.143.160.193","transparent","AS14534","PR","Unonet Corp","123","Unonet Corp","999","http","667","99","96","97","2026-08-25T16:12:08.508Z","167"
"45.140.169.209","elite","AS51659","RU","LLC Baxet","52","LLC Baxet","1080","socks4","19497","100","25","25","2026-08-25T16:41:19.493Z","173"
"145.220.226.102","elite","AS1101","NL","SURFnet III d","25","SURFnet bv","8080","https","3584","81","204","251","2026-08-25T16:29:26.094Z","175"
"107.173.182.177","elite","AS36352","US","HostPapa","100","ColoCrossing","30368","socks5","420","77","222","289","2026-08-25T16:54:05.070Z","178"
"147.45.136.45","elite","AS210976","NL","Timeweb, LLP","29","TW Cloud","1080","socks5","30","100","401","402","2026-08-25T16:39:07.378Z","180"
"154.113.196.49","elite","AS37282","NG","Main one Cable Company Nigeria Limited","108","N/A","5678","socks4","218","100","116","116","2026-08-25T16:48:35.366Z","180"
"38.51.216.56","transparent","AS269730","VE","Tecnoven Services C.A","165","Tecnoven Services C.A","999","http","711","95","176","186","2026-08-25T16:07:29.986Z","182"
"103.54.119.5","transparent","AS63888","HK","Data Wing Limited","190","Tisp 03 Limited","8000","https","266","100","344","345","2026-08-25T16:42:33.785Z","183"
